solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
2, 0, 0.0112, 1.9575, 6, 20, 120
2, 1, 0.0086, 1.9661, 7, 1, 121
2, 0.8227, 0.0125, 1.9786, 7, 2, 122
2, 0.508, 0.0192, 1.9978, 7, 3, 123
2, 0.3845, 0.0273, 2.0251, 7, 4, 124
2, 0.3482, 0.0234, 2.0485, 7, 5, 125
2, 0.2354, 0.0689, 2.1174, 7, 6, 126
103, 0.0753, 0.0227, 2.14, 7, 7, 127
2, 0.0348, 0.0656, 2.2056, 7, 8, 128
2, 0.0285, 0.0516, 2.2573, 7, 9, 129
102, 0.0317, 0.1931, 2.4503, 7, 10, 130
2, 0.015, 0.1716, 2.6219, 7, 11, 131
2, 0.02, 1.1879, 3.8098, 7, 12, 132
2, 0, 0.044, 3.8538, 7, 13, 133
2, 0, 0.0174, 3.8712, 7, 14, 134
2, 0, 0.0143, 3.8855, 7, 15, 135
2, 0, 0.0225, 3.908, 7, 16, 136
2, 0, 0.0407, 3.9486, 7, 17, 137
2, 0, 0.025, 3.9736, 7, 18, 138
2, 0, 0.0284, 4.002, 7, 19, 139
2, 0, 0.0174, 4.0195, 7, 20, 140
2, 1, 0.0084, 4.0279, 8, 1, 141
2, 0.7148, 0.0129, 4.0408, 8, 2, 142
2, 0.562, 0.0195, 4.0603, 8, 3, 143
2, 0.3741, 0.0279, 4.0883, 8, 4, 144
2, 0.321, 0.0359, 4.1241, 8, 5, 145
2, 0.2437, 0.0546, 4.1787, 8, 6, 146
2, 0.1855, 0.0922, 4.271, 8, 7, 147
102, 0.0536, 0.0282, 4.2991, 8, 8, 148
2, 0.0317, 0.0999, 4.3991, 8, 9, 149
2, 0.0525, 0.2849, 4.684, 8, 10, 150
2, 0.0434, 0.8214, 5.5054, 8, 11, 151
2, 0.0172, 1.1038, 6.6092, 8, 12, 152
2, 0.0235, 7.4402, 14.0495, 8, 13, 153
2, 0.0019, 5.8473, 19.8967, 8, 14, 154
3, 0.0025, 68.7878, 88.6845, 8, 15, 155
2, 0, 0.0323, 88.7168, 8, 16, 156
2, 0, 0.0128, 88.7296, 8, 17, 157
2, 0, 0.044, 88.7736, 8, 18, 158
2, 0, 0.1295, 88.9031, 8, 19, 159
2, 0, 0.0286, 88.9318, 8, 20, 160
2, 1, 0.0252, 88.9569, 9, 1, 161
2, 0.7929, 0.0205, 88.9775, 9, 2, 162
2, 0.5585, 0.0249, 89.0023, 9, 3, 163
2, 0.4306, 0.0396, 89.0419, 9, 4, 164
2, 0.3275, 0.0434, 89.0853, 9, 5, 165
2, 0.2601, 0.0537, 89.139, 9, 6, 166
102, 0.2079, 0.2382, 89.3772, 9, 7, 167
2, 0.2127, 0.1654, 89.5426, 9, 8, 168
3, 0.023, 0.0418, 89.5844, 9, 9, 169
2, 0.0275, 0.2244, 89.8087, 9, 10, 170
2, 0.0321, 0.2264, 90.0351, 9, 11, 171
2, 0.0346, 3.1264, 93.1615, 9, 12, 172
2, 0.0288, 3.2076, 96.3691, 9, 13, 173
103, 0.0256, 65.3154, 161.6844, 9, 14, 174
3, 0.0166, 102.2112, 263.8957, 9, 15, 175
422, 0.0092, 300.7659, 564.6616, 9, 16, 176
2, 0, 0.6866, 565.3482, 9, 17, 177
2, 0, 0.0317, 565.3799, 9, 18, 178
2, 0, 0.0615, 565.4414, 9, 19, 179
2, 0, 0.0867, 565.5281, 9, 20, 180
2, 1, 0.0215, 565.5496, 10, 1, 181
2, 0.711, 0.0214, 565.5709, 10, 2, 182
2, 0.5756, 0.0321, 565.603, 10, 3, 183
2, 0.4172, 0.0327, 565.6357, 10, 4, 184
2, 0.3489, 0.047, 565.6827, 10, 5, 185
2, 0.2444, 0.0625, 565.7452, 10, 6, 186
2, 0.232, 0.1533, 565.8985, 10, 7, 187
2, 0.1924, 0.9309, 566.8295, 10, 8, 188
2, 0.1648, 4.354, 571.1835, 10, 9, 189
2, 0.0432, 0.1691, 571.3526, 10, 10, 190
2, 0.0549, 1.4428, 572.7954, 10, 11, 191
2, 0.0404, 2.6832, 575.4786, 10, 12, 192
3, 0.0365, 21.5099, 596.9885, 10, 13, 193
2, 0.0247, 12.0379, 609.0264, 10, 14, 194
422, 0.0346, 300.6261, 909.6525, 10, 15, 195
3, 0.0139, 95.5357, 1005.1883, 10, 16, 196
422, 0.0235, 301.546, 1306.7343, 10, 17, 197
422, 0.0067, 300.9876, 1607.7219, 10, 18, 198
422, 0.0021, 301.0173, 1908.7391, 10, 19, 199
2, 0, 0.0357, 1908.7749, 10, 20, 200
2, 1, 0.0112, 1908.786, 11, 1, 201
2, 0.9141, 0.0327, 1908.8188, 11, 2, 202
2, 0.5438, 0.0415, 1908.8603, 11, 3, 203
2, 0.3871, 0.0408, 1908.9012, 11, 4, 204
102, 0.334, 0.0532, 1908.9543, 11, 5, 205
102, 0.2585, 0.2088, 1909.1632, 11, 6, 206
3, 0.227, 0.3037, 1909.4668, 11, 7, 207
2, 0.2009, 1.327, 1910.7939, 11, 8, 208
2, 0.1633, 7.6983, 1918.4922, 11, 9, 209
2, 0.1669, 58.9936, 1977.4858, 11, 10, 210
2, 0.0169, 0.1907, 1977.6765, 11, 11, 211
2, 0.0329, 1.4644, 1979.1409, 11, 12, 212
2, 0.0453, 56.262, 2035.4029, 11, 13, 213
3, 0.0269, 30.8482, 2066.2511, 11, 14, 214
422, 0.0381, 301.2678, 2367.519, 11, 15, 215
422, 0.0182, 301.0248, 2668.5437, 11, 16, 216
422, 0.0271, 300.957, 2969.5008, 11, 17, 217
422, 0.0166, 301.3222, 3270.823, 11, 18, 218
422, 0.0144, 302.4225, 3573.2454, 11, 19, 219
422, 0.0042, 300.9633, 3874.2087, 11, 20, 220
2, 1, 0.0114, 3874.2202, 12, 1, 221
2, 0.81, 0.0204, 3874.2405, 12, 2, 222
2, 0.5542, 0.0305, 3874.271, 12, 3, 223
2, 0.4205, 0.0642, 3874.3352, 12, 4, 224
2, 0.291, 0.0745, 3874.4097, 12, 5, 225
2, 0.2953, 0.1974, 3874.607, 12, 6, 226
2, 0.2469, 1.2547, 3875.8617, 12, 7, 227
2, 0.1905, 1.9926, 3877.8543, 12, 8, 228
3, 0.1792, 24.3563, 3902.2106, 12, 9, 229
3, 0.1567, 50.4525, 3952.6631, 12, 10, 230
3, 0.1313, 203.2073, 4155.8704, 12, 11, 231
102, 0.0088, 0.2079, 4156.0783, 12, 12, 232
2, 0.0382, 10.2971, 4166.3754, 12, 13, 233
2, 0.0157, 5.9851, 4172.3605, 12, 14, 234
422, 0.0313, 300.7871, 4473.1476, 12, 15, 235
422, 0.0295, 300.3873, 4773.5349, 12, 16, 236
422, 0.0287, 302.0217, 5075.5566, 12, 17, 237
422, 0.0237, 303.7215, 5379.2781, 12, 18, 238
422, 0.0249, 301.235, 5680.5131, 12, 19, 239
422, 0.0124, 301.0667, 5981.5798, 12, 20, 240
2, 1, 0.0272, 5981.607, 13, 1, 241
2, 0.7933, 0.022, 5981.629, 13, 2, 242
2, 0.6627, 0.0566, 5981.6857, 13, 3, 243
2, 0.4181, 0.0627, 5981.7484, 13, 4, 244
2, 0.3863, 0.079, 5981.8274, 13, 5, 245
2, 0.3352, 0.3409, 5982.1683, 13, 6, 246
2, 0.2299, 0.5748, 5982.7432, 13, 7, 247
3, 0.204, 4.1324, 5986.8755, 13, 8, 248
3, 0.1819, 7.5274, 5994.4029, 13, 9, 249
3, 0.1605, 22.1617, 6016.5646, 13, 10, 250
3, 0.1367, 162.4115, 6178.9761, 13, 11, 251
422, 0.1324, 301.0594, 6480.0355, 13, 12, 252
2, 0.0323, 2.5722, 6482.6077, 13, 13, 253
2, 0.0223, 6.1584, 6488.7661, 13, 14, 254
422, 0.0393, 301.331, 6790.0971, 13, 15, 255
422, 0.0356, 300.5514, 7090.6485, 13, 16, 256
422, 0.034, 301.5616, 7392.2102, 13, 17, 257
422, 0.0316, 302.0342, 7694.2444, 13, 18, 258
422, 0.0262, 301.0224, 7995.2668, 13, 19, 259
422, 0.0283, 301.1292, 8296.396, 13, 20, 260
2, 1, 0.0167, 8296.4127, 14, 1, 261
2, 0.9019, 0.0339, 8296.4466, 14, 2, 262
2, 0.6222, 0.0455, 8296.4921, 14, 3, 263
2, 0.4279, 0.1056, 8296.5977, 14, 4, 264
2, 0.3573, 0.3491, 8296.9468, 14, 5, 265
2, 0.2569, 0.3785, 8297.3253, 14, 6, 266
2, 0.2385, 1.7981, 8299.1234, 14, 7, 267
2, 0.1986, 5.8513, 8304.9747, 14, 8, 268
2, 0.1892, 2.865, 8307.8397, 14, 9, 269
3, 0.1697, 14.4698, 8322.3096, 14, 10, 270
422, 0.1525, 300.2764, 8622.5859, 14, 11, 271
422, 0.1331, 300.4313, 8923.0172, 14, 12, 272
422, 0.1109, 301.2025, 9224.2197, 14, 13, 273
2, 0.0183, 2.2992, 9226.5189, 14, 14, 274
3, 0.0244, 12.8722, 9239.3912, 14, 15, 275
422, 0.0289, 301.0745, 9540.4657, 14, 16, 276
422, 0.0337, 301.0657, 9841.5314, 14, 17, 277
422, 0.0337, 300.8103, 10142.3417, 14, 18, 278
422, 0.0309, 301.6838, 10444.0255, 14, 19, 279
422, 0.0242, 305.2269, 10749.2524, 14, 20, 280
2, 1, 0.0147, 10749.2671, 15, 1, 281
2, 0.8554, 0.0256, 10749.2927, 15, 2, 282
2, 0.5451, 0.0283, 10749.321, 15, 3, 283
2, 0.4709, 0.0899, 10749.4109, 15, 4, 284
2, 0.3585, 0.1066, 10749.5175, 15, 5, 285
2, 0.3019, 0.37, 10749.8875, 15, 6, 286
2, 0.2488, 0.4035, 10750.291, 15, 7, 287
2, 0.2209, 4.361, 10754.652, 15, 8, 288
2, 0.1937, 19.9219, 10774.5739, 15, 9, 289
3, 0.1686, 30.586, 10805.1599, 15, 10, 290
422, 0.1466, 300.7687, 11105.9286, 15, 11, 291
422, 0.135, 301.0539, 11406.9825, 15, 12, 292
422, 0.1172, 300.8551, 11707.8377, 15, 13, 293
422, 0.1034, 301.2079, 12009.0456, 15, 14, 294
3, 0.0194, 4.3941, 12013.4397, 15, 15, 295
3, 0.0259, 190.8718, 12204.3115, 15, 16, 296
422, 0.0349, 300.6479, 12504.9594, 15, 17, 297
422, 0.0259, 300.6188, 12805.5781, 15, 18, 298
422, 0.0322, 305.7117, 13111.2899, 15, 19, 299
422, 0.0322, 301.5862, 13412.8761, 15, 20, 300
2, 1, 0.0329, 13412.909, 16, 1, 301
2, 0.7789, 0.044, 13412.953, 16, 2, 302
2, 0.5834, 0.049, 13413.0021, 16, 3, 303
2, 0.4719, 0.112, 13413.114, 16, 4, 304
2, 0.3573, 0.3169, 13413.4309, 16, 5, 305
2, 0.3014, 0.3376, 13413.7686, 16, 6, 306
2, 0.2871, 0.568, 13414.3366, 16, 7, 307
3, 0.2396, 4.2171, 13418.5537, 16, 8, 308
3, 0.1937, 20.1306, 13438.6842, 16, 9, 309
2, 0.1606, 187.4834, 13626.1676, 16, 10, 310
422, 0.1554, 300.4331, 13926.6007, 16, 11, 311
422, 0.1421, 300.8198, 14227.4205, 16, 12, 312
422, 0.1288, 302.2012, 14529.6217, 16, 13, 313
422, 0.115, 301.0191, 14830.6408, 16, 14, 314
422, 0.105, 301.0857, 15131.7265, 16, 15, 315
2, 0.012, 4.9448, 15136.6714, 16, 16, 316
422, 0.0295, 300.5187, 15437.19, 16, 17, 317
422, 0.0241, 301.2846, 15738.4746, 16, 18, 318
422, 0.0267, 300.96, 16039.4347, 16, 19, 319
422, 0.0233, 304.9642, 16344.3988, 16, 20, 320
2, 1, 0.0273, 16344.4261, 17, 1, 321
2, 0.9713, 0.0295, 16344.4556, 17, 2, 322
2, 0.5402, 0.0367, 16344.4923, 17, 3, 323
2, 0.453, 0.1623, 16344.6547, 17, 4, 324
2, 0.3693, 0.3599, 16345.0145, 17, 5, 325
2, 0.2917, 0.179, 16345.1935, 17, 6, 326
2, 0.2603, 0.59, 16345.7835, 17, 7, 327
2, 0.2197, 5.3365, 16351.12, 17, 8, 328
3, 0.1809, 17.2774, 16368.3974, 17, 9, 329
3, 0.1803, 276.9317, 16645.3291, 17, 10, 330
103, 0.16, 239.0287, 16884.3578, 17, 11, 331
422, 0.132, 300.6013, 17184.9591, 17, 12, 332
422, 0.1334, 301.0276, 17485.9867, 17, 13, 333
422, 0.1136, 300.9293, 17786.916, 17, 14, 334
422, 0.1076, 301.2778, 18088.1938, 17, 15, 335
422, 0.0832, 300.9229, 18389.1167, 17, 16, 336
3, 0.0199, 23.6186, 18412.7353, 17, 17, 337
422, 0.0242, 300.7411, 18713.4763, 17, 18, 338
422, 0.0256, 300.8211, 19014.2974, 17, 19, 339
422, 0.026, 301.5076, 19315.805, 17, 20, 340
2, 1, 0.0322, 19315.8372, 18, 1, 341
2, 0.9169, 0.0458, 19315.883, 18, 2, 342
2, 0.6784, 0.0805, 19315.9635, 18, 3, 343
2, 0.4063, 0.4236, 19316.3871, 18, 4, 344
2, 0.3523, 0.2365, 19316.6236, 18, 5, 345
2, 0.3426, 0.8461, 19317.4697, 18, 6, 346
2, 0.2611, 3.9975, 19321.4672, 18, 7, 347
2, 0.248, 5.5748, 19327.0421, 18, 8, 348
2, 0.2079, 75.8021, 19402.8442, 18, 9, 349
422, 0.1677, 300.397, 19703.2412, 18, 10, 350
3, 0.1438, 50.7092, 19753.9504, 18, 11, 351
422, 0.1465, 300.8607, 20054.8111, 18, 12, 352
422, 0.135, 301.4387, 20356.2497, 18, 13, 353
422, 0.123, 300.8676, 20657.1173, 18, 14, 354
422, 0.1063, 300.7885, 20957.9058, 18, 15, 355
422, 0.1077, 301.8365, 21259.7423, 18, 16, 356
422, 0.083, 300.8333, 21560.5756, 18, 17, 357
3, 0.0266, 136.6479, 21697.2235, 18, 18, 358
