solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
2, 0, 0.0221, 3.3973, 6, 20, 120
2, 1, 0.0114, 3.4088, 7, 1, 121
2, 0.8227, 0.0165, 3.4252, 7, 2, 122
2, 0.508, 0.0369, 3.4621, 7, 3, 123
2, 0.3845, 0.0658, 3.5279, 7, 4, 124
2, 0.3482, 0.0479, 3.5758, 7, 5, 125
102, 0.2354, 0.1851, 3.7609, 7, 6, 126
2, 0.0753, 0.0859, 3.8468, 7, 7, 127
2, 0.0348, 0.0815, 3.9283, 7, 8, 128
2, 0.0285, 0.172, 4.1003, 7, 9, 129
2, 0.0317, 0.2673, 4.3676, 7, 10, 130
2, 0.015, 0.3403, 4.7079, 7, 11, 131
2, 0.02, 2.3839, 7.0918, 7, 12, 132
2, 0, 0.0482, 7.1399, 7, 13, 133
2, 0, 0.0312, 7.1711, 7, 14, 134
2, 0, 0.0181, 7.1892, 7, 15, 135
2, 0, 0.0361, 7.2254, 7, 16, 136
2, 0, 0.0905, 7.3159, 7, 17, 137
2, 0, 0.0335, 7.3495, 7, 18, 138
2, 0, 0.0593, 7.4088, 7, 19, 139
2, 0, 0.0291, 7.4379, 7, 20, 140
2, 1, 0.0113, 7.4491, 8, 1, 141
2, 0.7148, 0.0196, 7.4688, 8, 2, 142
2, 0.562, 0.0558, 7.5245, 8, 3, 143
2, 0.3741, 0.0379, 7.5625, 8, 4, 144
2, 0.321, 0.046, 7.6085, 8, 5, 145
2, 0.2437, 0.0779, 7.6864, 8, 6, 146
2, 0.1855, 0.3253, 8.0118, 8, 7, 147
2, 0.0536, 0.0505, 8.0623, 8, 8, 148
2, 0.0317, 0.1521, 8.2143, 8, 9, 149
3, 0.0525, 0.6476, 8.8619, 8, 10, 150
2, 0.0434, 0.9509, 9.8128, 8, 11, 151
2, 0.0172, 1.1083, 10.9212, 8, 12, 152
102, 0.0235, 5.3403, 16.2615, 8, 13, 153
2, 0.0019, 6.1032, 22.3647, 8, 14, 154
3, 0.0025, 32.5063, 54.871, 8, 15, 155
2, 0, 0.0334, 54.9044, 8, 16, 156
2, 0, 0.0132, 54.9176, 8, 17, 157
2, 0, 0.0909, 55.0085, 8, 18, 158
2, 0, 0.8972, 55.9057, 8, 19, 159
2, 0, 0.026, 55.9317, 8, 20, 160
2, 1, 0.0087, 55.9404, 9, 1, 161
2, 0.7929, 0.0286, 55.9689, 9, 2, 162
2, 0.5585, 0.0416, 56.0106, 9, 3, 163
2, 0.4306, 0.0409, 56.0514, 9, 4, 164
2, 0.3275, 0.0464, 56.0978, 9, 5, 165
2, 0.2601, 0.1491, 56.247, 9, 6, 166
2, 0.2079, 0.8281, 57.075, 9, 7, 167
2, 0.2127, 0.3797, 57.4547, 9, 8, 168
2, 0.023, 0.1197, 57.5744, 9, 9, 169
2, 0.0275, 0.4267, 58.0011, 9, 10, 170
102, 0.0321, 0.3281, 58.3292, 9, 11, 171
2, 0.0346, 4.0106, 62.3398, 9, 12, 172
2, 0.0288, 3.5659, 65.9057, 9, 13, 173
3, 0.0256, 16.0518, 81.9574, 9, 14, 174
3, 0.0166, 32.8095, 114.7669, 9, 15, 175
521, 0.0092, 149.3479, 264.1149, 9, 16, 176
2, 0, 0.2421, 264.357, 9, 17, 177
2, 0, 0.0363, 264.3933, 9, 18, 178
2, 0, 0.0543, 264.4476, 9, 19, 179
521, 0.0031, 0.0857, 264.5333, 9, 20, 180
