solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
2, 0, 0.0323, 3.8331, 6, 20, 120
2, 1, 0.0117, 3.8448, 7, 1, 121
2, 0.8227, 0.0171, 3.8619, 7, 2, 122
2, 0.508, 0.0265, 3.8885, 7, 3, 123
2, 0.3845, 0.0339, 3.9223, 7, 4, 124
2, 0.3482, 0.0445, 3.9668, 7, 5, 125
2, 0.2354, 0.1107, 4.0776, 7, 6, 126
2, 0.0753, 0.0463, 4.1239, 7, 7, 127
2, 0.0348, 0.053, 4.1769, 7, 8, 128
2, 0.0285, 0.1005, 4.2773, 7, 9, 129
2, 0.0317, 0.3607, 4.6381, 7, 10, 130
2, 0.015, 0.3662, 5.0043, 7, 11, 131
2, 0.02, 3.232, 8.2362, 7, 12, 132
2, 0, 0.1066, 8.3428, 7, 13, 133
2, 0, 0.0316, 8.3744, 7, 14, 134
2, 0, 0.0253, 8.3997, 7, 15, 135
2, 0, 0.0374, 8.4371, 7, 16, 136
2, 0, 0.1227, 8.5598, 7, 17, 137
2, 0, 0.0346, 8.5944, 7, 18, 138
2, 0, 0.0455, 8.6398, 7, 19, 139
2, 0, 0.047, 8.6868, 7, 20, 140
2, 1, 0.0137, 8.7005, 8, 1, 141
2, 0.7148, 0.02, 8.7205, 8, 2, 142
2, 0.562, 0.0315, 8.752, 8, 3, 143
2, 0.3741, 0.0402, 8.7922, 8, 4, 144
2, 0.321, 0.0633, 8.8555, 8, 5, 145
2, 0.2437, 0.0705, 8.926, 8, 6, 146
2, 0.1855, 0.2267, 9.1526, 8, 7, 147
102, 0.0536, 0.0773, 9.2299, 8, 8, 148
2, 0.0317, 0.1159, 9.3458, 8, 9, 149
2, 0.0525, 0.9262, 10.272, 8, 10, 150
2, 0.0434, 4.2109, 14.4829, 8, 11, 151
2, 0.0172, 1.3763, 15.8591, 8, 12, 152
2, 0.0235, 12.6144, 28.4736, 8, 13, 153
3, 0.0019, 12.695, 41.1686, 8, 14, 154
3, 0.0025, 107.1639, 148.3325, 8, 15, 155
2, 0, 0.0486, 148.3812, 8, 16, 156
2, 0, 0.0485, 148.4296, 8, 17, 157
2, 0, 0.0709, 148.5005, 8, 18, 158
2, 0, 0.1327, 148.6332, 8, 19, 159
2, 0, 0.1044, 148.7376, 8, 20, 160
2, 1, 0.0322, 148.7698, 9, 1, 161
2, 0.7929, 0.0231, 148.7928, 9, 2, 162
2, 0.5585, 0.0371, 148.8299, 9, 3, 163
2, 0.4306, 0.0464, 148.8763, 9, 4, 164
2, 0.3275, 0.0501, 148.9264, 9, 5, 165
2, 0.2601, 0.0692, 148.9956, 9, 6, 166
2, 0.2079, 0.2643, 149.2598, 9, 7, 167
2, 0.2127, 0.1931, 149.453, 9, 8, 168
2, 0.023, 0.072, 149.5249, 9, 9, 169
3, 0.0275, 0.2253, 149.7502, 9, 10, 170
2, 0.0321, 0.2456, 149.9958, 9, 11, 171
3, 0.0346, 5.9259, 155.9217, 9, 12, 172
102, 0.0288, 4.9432, 160.8649, 9, 13, 173
3, 0.0256, 107.9808, 268.8457, 9, 14, 174
3, 0.0166, 84.6881, 353.5338, 9, 15, 175
3, 0.0092, 231.5545, 585.0883, 9, 16, 176
2, 0, 0.0923, 585.1806, 9, 17, 177
2, 0, 0.0489, 585.2295, 9, 18, 178
2, 0, 0.055, 585.2845, 9, 19, 179
2, 0, 0.0856, 585.3701, 9, 20, 180
2, 1, 0.0198, 585.3899, 10, 1, 181
2, 0.711, 0.0292, 585.4191, 10, 2, 182
2, 0.5756, 0.0505, 585.4696, 10, 3, 183
2, 0.4172, 0.0985, 585.5682, 10, 4, 184
2, 0.3489, 0.0551, 585.6232, 10, 5, 185
2, 0.2444, 0.1534, 585.7766, 10, 6, 186
2, 0.232, 0.1662, 585.9428, 10, 7, 187
2, 0.1924, 1.7842, 587.727, 10, 8, 188
3, 0.1648, 3.7808, 591.5077, 10, 9, 189
2, 0.0432, 0.1998, 591.7075, 10, 10, 190
3, 0.0549, 1.1625, 592.87, 10, 11, 191
2, 0.0404, 10.3614, 603.2314, 10, 12, 192
3, 0.0365, 37.4644, 640.6958, 10, 13, 193
3, 0.0247, 15.1794, 655.8753, 10, 14, 194
422, 0.0346, 301.4755, 957.3508, 10, 15, 195
3, 0.0139, 107.6398, 1064.9905, 10, 16, 196
422, 0.0235, 303.8814, 1368.8719, 10, 17, 197
422, 0.0022, 301.4035, 1670.2754, 10, 18, 198
422, 0.0006, 300.9071, 1971.1825, 10, 19, 199
2, 0, 0.0729, 1971.2554, 10, 20, 200
2, 1, 0.0114, 1971.2668, 11, 1, 201
2, 0.9141, 0.0317, 1971.2985, 11, 2, 202
2, 0.5438, 0.082, 1971.3805, 11, 3, 203
2, 0.3871, 0.0417, 1971.4222, 11, 4, 204
2, 0.334, 0.058, 1971.4801, 11, 5, 205
2, 0.2585, 0.2652, 1971.7454, 11, 6, 206
2, 0.227, 0.2811, 1972.0265, 11, 7, 207
3, 0.2009, 1.8078, 1973.8343, 11, 8, 208
3, 0.1633, 2.0216, 1975.8559, 11, 9, 209
3, 0.1669, 44.2374, 2020.0933, 11, 10, 210
2, 0.0169, 0.0794, 2020.1727, 11, 11, 211
102, 0.0329, 1.5002, 2021.6728, 11, 12, 212
2, 0.0453, 37.4533, 2059.1262, 11, 13, 213
3, 0.0269, 61.8701, 2120.9962, 11, 14, 214
