solveResult, pEnvyFree, solveElapsedTime, totalSolveElaspsedTime, |P|, |I|, fileNumber
2, 0, 0.0198, 3.3514, 6, 20, 120
2, 1, 0.0116, 3.3629, 7, 1, 121
2, 0.8227, 0.0171, 3.38, 7, 2, 122
2, 0.508, 0.0257, 3.4057, 7, 3, 123
2, 0.3845, 0.0396, 3.4453, 7, 4, 124
2, 0.3482, 0.0372, 3.4825, 7, 5, 125
2, 0.2354, 0.1058, 3.5883, 7, 6, 126
103, 0.0753, 0.0452, 3.6335, 7, 7, 127
2, 0.0348, 0.1122, 3.7457, 7, 8, 128
102, 0.0285, 0.1019, 3.8475, 7, 9, 129
2, 0.0317, 0.3351, 4.1827, 7, 10, 130
3, 0.015, 0.2887, 4.4714, 7, 11, 131
2, 0.02, 2.1968, 6.6682, 7, 12, 132
2, 0, 0.0934, 6.7615, 7, 13, 133
2, 0, 0.0286, 6.7901, 7, 14, 134
2, 0, 0.026, 6.8161, 7, 15, 135
2, 0, 0.0372, 6.8533, 7, 16, 136
2, 0, 0.1009, 6.9542, 7, 17, 137
2, 0, 0.0349, 6.989, 7, 18, 138
2, 0, 0.0491, 7.0381, 7, 19, 139
2, 0, 0.0334, 7.0715, 7, 20, 140
2, 1, 0.0144, 7.086, 8, 1, 141
2, 0.7148, 0.0247, 7.1107, 8, 2, 142
2, 0.562, 0.0625, 7.1732, 8, 3, 143
2, 0.3741, 0.0513, 7.2245, 8, 4, 144
2, 0.321, 0.0746, 7.2991, 8, 5, 145
2, 0.2437, 0.0576, 7.3567, 8, 6, 146
2, 0.1855, 0.1769, 7.5336, 8, 7, 147
102, 0.0536, 0.0393, 7.5729, 8, 8, 148
2, 0.0317, 0.1369, 7.7098, 8, 9, 149
3, 0.0525, 0.4286, 8.1384, 8, 10, 150
3, 0.0434, 2.0832, 10.2216, 8, 11, 151
2, 0.0172, 1.0622, 11.2838, 8, 12, 152
2, 0.0235, 6.364, 17.6478, 8, 13, 153
3, 0.0019, 10.5055, 28.1534, 8, 14, 154
3, 0.0025, 76.7939, 104.9472, 8, 15, 155
2, 0, 0.0309, 104.9782, 8, 16, 156
2, 0, 0.0139, 104.9921, 8, 17, 157
2, 0, 0.0868, 105.0789, 8, 18, 158
2, 0, 0.0949, 105.1738, 8, 19, 159
2, 0, 0.0386, 105.2124, 8, 20, 160
2, 1, 0.0139, 105.2263, 9, 1, 161
2, 0.7929, 0.0392, 105.2656, 9, 2, 162
2, 0.5585, 0.0712, 105.3368, 9, 3, 163
2, 0.4306, 0.0447, 105.3815, 9, 4, 164
2, 0.3275, 0.0621, 105.4436, 9, 5, 165
2, 0.2601, 0.0706, 105.5142, 9, 6, 166
102, 0.2079, 0.2233, 105.7374, 9, 7, 167
2, 0.2127, 0.1826, 105.92, 9, 8, 168
3, 0.023, 0.0433, 105.9633, 9, 9, 169
2, 0.0275, 0.2291, 106.1924, 9, 10, 170
3, 0.0321, 0.2247, 106.4171, 9, 11, 171
2, 0.0346, 3.5003, 109.9174, 9, 12, 172
3, 0.0288, 5.2192, 115.1366, 9, 13, 173
3, 0.0256, 32.0801, 147.2167, 9, 14, 174
3, 0.0166, 58.274, 205.4906, 9, 15, 175
3, 0.0092, 207.8713, 413.362, 9, 16, 176
2, 0, 0.9479, 414.3099, 9, 17, 177
2, 0, 0.0407, 414.3505, 9, 18, 178
2, 0, 0.068, 414.4186, 9, 19, 179
2, 0, 0.1629, 414.5815, 9, 20, 180
2, 1, 0.0114, 414.5929, 10, 1, 181
2, 0.711, 0.0381, 414.631, 10, 2, 182
2, 0.5756, 0.0449, 414.6759, 10, 3, 183
2, 0.4172, 0.1289, 414.8047, 10, 4, 184
2, 0.3489, 0.0988, 414.9035, 10, 5, 185
2, 0.2444, 0.1861, 415.0896, 10, 6, 186
2, 0.232, 0.1598, 415.2495, 10, 7, 187
2, 0.1924, 1.1425, 416.392, 10, 8, 188
3, 0.1648, 2.4444, 418.8364, 10, 9, 189
2, 0.0432, 0.144, 418.9804, 10, 10, 190
2, 0.0549, 1.3777, 420.3581, 10, 11, 191
3, 0.0404, 6.814, 427.1721, 10, 12, 192
2, 0.0365, 9.4121, 436.5841, 10, 13, 193
2, 0.0247, 10.6234, 447.2076, 10, 14, 194
422, 0.0346, 300.1197, 747.3272, 10, 15, 195
422, 0.0139, 300.3548, 1047.682, 10, 16, 196
422, 0.0235, 306.0292, 1353.7112, 10, 17, 197
422, 0.0022, 300.9271, 1654.6382, 10, 18, 198
422, 0.0006, 300.7045, 1955.3428, 10, 19, 199
2, 0, 0.0232, 1955.366, 10, 20, 200
2, 1, 0.0114, 1955.3773, 11, 1, 201
2, 0.9141, 0.0175, 1955.3948, 11, 2, 202
2, 0.5438, 0.0456, 1955.4404, 11, 3, 203
2, 0.3871, 0.0349, 1955.4753, 11, 4, 204
102, 0.334, 0.0454, 1955.5207, 11, 5, 205
102, 0.2585, 0.1856, 1955.7063, 11, 6, 206
2, 0.227, 0.2008, 1955.9071, 11, 7, 207
2, 0.2009, 1.1462, 1957.0534, 11, 8, 208
3, 0.1633, 1.1298, 1958.1832, 11, 9, 209
3, 0.1669, 45.8038, 2003.987, 11, 10, 210
2, 0.0169, 0.1468, 2004.1338, 11, 11, 211
2, 0.0329, 0.4723, 2004.6061, 11, 12, 212
2, 0.0453, 31.7673, 2036.3734, 11, 13, 213
3, 0.0269, 53.8509, 2090.2243, 11, 14, 214
422, 0.0378, 300.5375, 2390.7618, 11, 15, 215
422, 0.0182, 301.1198, 2691.8816, 11, 16, 216
